m	n	lambda	sq_lambda	C
3	17	58.03505815660888	3368.067975240975	-9.633493276912608e-26
3	18	61.180887435566085	3743.100987403408	4.127037037303797e-27
3	19	64.32631122913942	4137.874316348109	-1.7695283650226726e-28
3	20	67.47138515681614	4552.387814979429	7.592604572949706e-30
3	21	70.61615510005169	4986.641361114555	-3.2598419632116875e-31
3	22	73.7606592461619	5440.634852428408	1.400361858296099e-32
3	23	76.90492963770433	5914.368202580254	-6.018565945882673e-34
3	24	80.0489933616412	6407.841338212076	2.587797973558653e-35
3	25	83.19287347242089	6921.05419659823	-1.1130932419218583e-36
3	26	86.3365897159946	7454.006723787986	4.789374487456726e-38
3	27	89.4801591031384	8006.698873122963	-2.061374212239805e-39
3	28	92.62359636748374	8579.130604046548	8.874674890549471e-41
3	29	95.76691433443015	9171.301881138084	-3.8216784302026716e-42
3	30	98.91012422055314	9783.212673325253	1.6460834979262043e-43
4	0	4.616516465561656	21.31222427680188	0.047986003949937135
4	1	8.5596999986352	73.26846406663543	-0.0006839750365215662
4	2	11.927309152836814	142.26070362734484	1.8656088681358507e-05
4	3	15.196026127136408	230.91921005661234	-6.166243787023551e-07
4	4	18.42116064337777	339.33915944913014	2.2327270473134855e-08
4	5	21.622329913545922	467.5251508902228	-8.507836288531194e-10
4	6	24.80871427938777	615.4723041962988	3.345947443819118e-11
4	7	27.985275830500946	783.1756633092205	-1.343745589430503e-12
4	8	31.154957198660952	970.6313580503959	5.476052342205853e-14
4	9	34.31962278643255	1177.83650820302	-2.25544989922874e-15
4	10	37.48051464102977	1404.788977756447	9.363951036589645e-17
4	11	40.6384936647973	1651.4871673437704	-3.9115370773949685e-18
4	12	43.794176132054034	1917.9298630853712	1.6418317683536302e-19
4	13	46.948015191208434	2204.116130393938	-6.918074934281974e-21
4	14	50.10035169188625	2510.04523965069	2.924180299229556e-22
4	15	53.25144705811825	2835.716613783571	-1.2392125173470165e-23
4	16	56.401505217896826	3181.129790844443	5.262884276474136e-25
4	17	59.550687627682784	3546.2843969298515	-2.2391903513308415e-26
4	18	62.699123808203886	3931.1801263164793	9.54178274021373e-28
4	19	65.84691888535936	4335.816726695095	-4.071401067496358e-29
4	20	68.99415908650664	4760.193988054187	1.739225692663886e-30
4	21	72.14091581212897	5204.311734212679	-7.43705652784043e-32
4	22	75.28724869655709	5668.169816297237	3.182917840841076e-33
4	23	78.43320793941048	6151.768107666803	-1.3632756975261884e-34
4	24	81.57883610302399	6655.10649992405	5.843022114573117e-36
4	25	84.72416951350029	7178.184899752331	-2.5058452928504824e-37
4	26	87.86923936388591	7721.0032263878775	1.07524104372829e-38
4	27	91.01407259090058	8283.56140958172	-4.6160242931743115e-40
4	28	94.15869257772061	8865.859387945698	1.9825312494805663e-41
4	29	97.30311972182841	9467.897107600473	-8.51811359680773e-43
5	0	5.723449365317157	32.75787263734937	0.024042721861700932
5	1	9.81535700047125	96.34123304669998	-0.00026522553626713027
5	2	13.245803354131667	175.4513064963257	6.459258387523833e-06
5	3	16.554339692648803	274.04616265960766	-1.9754857351466103e-07
5	4	19.807843332591748	392.3506574884994	6.756407614214659e-09
5	5	23.030470582518983	530.4025752522723	-2.464395343205714e-10
5	6	26.23372792056186	688.208480610067	9.362474217470995e-12
5	7	29.42393593258438	865.7680057648303	-3.656039680971616e-13
